token,model,logprob_sum,count
704,delphi-llama2-100k,-9167.220285087824,2088
1882,delphi-llama2-100k,-3123.370534658432,524
1148,delphi-llama2-100k,-5796.06705494225,1369
689,delphi-llama2-100k,-9071.99475744646,4703
2522,delphi-llama2-100k,-1513.5066010951996,261
1247,delphi-llama2-100k,-4965.64472746104,1276
724,delphi-llama2-100k,-10148.508767843246,2395
1264,delphi-llama2-100k,-5677.385695494711,1236
1323,delphi-llama2-100k,-5343.646439790726,1116
792,delphi-llama2-100k,-6668.939937423915,2827
533,delphi-llama2-100k,-22042.219335502014,8899
636,delphi-llama2-100k,-11344.706662595272,3857
1337,delphi-llama2-100k,-3796.315528988838,676
565,delphi-llama2-100k,-8044.124095737934,2198
4024,delphi-llama2-100k,-5341.98062903923,3651
692,delphi-llama2-100k,-11764.073604404926,4166
715,delphi-llama2-100k,-6010.163973428309,1691
272,delphi-llama2-100k,-5787.141291379929,749
797,delphi-llama2-100k,-186.74510461091995,83
276,delphi-llama2-100k,-1539.2007136517204,747
613,delphi-llama2-100k,-397.24781187670305,181
1403,delphi-llama2-100k,-3765.747411504388,955
2048,delphi-llama2-100k,-2194.7518582344055,396
706,delphi-llama2-100k,-16767.537737242877,4552
2692,delphi-llama2-100k,-1966.6154422033578,1149
1349,delphi-llama2-100k,-4520.627306193113,892
1393,delphi-llama2-100k,-4260.95392164588,930
1216,delphi-llama2-100k,-2986.4596461057663,483
1232,delphi-llama2-100k,-4111.031245157123,1334
1643,delphi-llama2-100k,-3396.5283029079437,644
853,delphi-llama2-100k,-11145.76432056725,2776
